"","V1","V2","V3"
"1",6,3,2
"2",32,1,1
"3",1,1,1
"4",1,1,2
"5",2,1,2
"6",18,1,2
"7",47,1,1
"8",47,1,1
"9",6,1,2
"10",1,3,1
"11",1,1,1
"12",1,1,1
"13",9,1,1
"14",6,1,2
"15",2,2,1
"16",2,1,1
"17",2,1,1
"18",1,1,2
"19",3,11,1
"20",3,1,3
"21",1,1,3
"22",47,1,1
"23",46,1,1
"24",3,1,2
"25",12,1,1
"26",1,1,1
"27",1,2,2
"28",13,23,1
"29",11,1,2
"30",3,1,1
"31",4,1,3
"32",7,1,1
"33",4,1,1
"34",10,1,1
"35",7,1,2
"36",30,1,1
"37",7,1,1
"38",1,9,3
"39",11,1,2
"40",8,1,1
"41",47,1,2
"42",7,1,1
"43",1,1,1
"44",2,1,1
"45",40,1,1
"46",9,1,1
"47",5,1,1
"48",34,1,1
"49",13,1,1
"50",12,1,1
"51",1,1,1
"52",40,1,1
"53",34,2,2
"54",32,1,1
"55",7,1,1
"56",10,1,1
"57",37,1,5
"58",15,1,2
"59",1,1,1
"60",1,13,3
"61",24,1,2
"62",46,1,1
"63",3,1,1
"64",1,1,1
"65",1,1,1
"66",2,1,2
"67",10,1,1
"68",3,1,2
"69",1,1,1
"70",2,1,0
"71",2,1,1
"72",33,2,1
"73",16,1,1
"74",2,2,4
"75",22,1,2
"76",1,1,2
"77",3,1,1
"78",19,1,1
"79",4,1,3
"80",8,1,2
"81",1,1,1
"82",30,1,1
"83",2,1,1
"84",9,1,1
"85",44,1,1
"86",17,1,1
"87",20,1,1
"88",1,3,1
"89",16,1,1
"90",6,1,1
"91",9,1,1
"92",9,1,3
"93",1,1,1
"94",1,1,2
"95",30,1,1
"96",13,1,1
"97",9,1,1
"98",6,1,2
"99",33,1,1
"100",2,1,1
"101",7,1,7
"102",10,1,1
"103",13,1,1
"104",31,1,1
"105",1,1,2
"106",44,1,1
"107",1,1,1
"108",15,3,1
"109",1,2,1
"110",37,1,1
"111",12,1,1
"112",46,1,1
"113",1,1,1
"114",2,1,1
"115",10,1,3
"116",24,1,1
"117",1,1,3
"118",3,1,1
"119",15,1,1
"120",11,4,2
"121",4,1,1
"122",21,1,1
"123",10,1,1
"124",13,1,1
"125",1,1,1
"126",27,1,1
"127",3,1,1
"128",9,1,1
"129",16,1,1
"130",1,1,1
"131",1,1,2
"132",2,1,1
"133",5,1,1
"134",40,1,1
"135",2,1,1
"136",17,1,2
"137",1,1,1
"138",14,1,1
"139",37,1,1
"140",3,1,2
"141",18,1,1
"142",11,2,3
"143",1,1,1
"144",34,1,1
"145",19,1,1
"146",18,1,1
"147",25,1,1
"148",2,1,1
"149",1,1,2
"150",25,1,1
"151",4,1,1
"152",1,1,2
"153",16,1,1
"154",6,1,1
"155",1,1,1
"156",13,1,1
"157",27,2,1
"158",13,1,1
"159",20,1,3
"160",3,1,1
"161",1,1,2
"162",1,1,2
"163",30,1,2
"164",25,1,1
"165",3,1,1
"166",31,1,1
"167",10,1,2
"168",15,1,1
"169",23,2,2
"170",4,1,2
"171",3,2,1
"172",15,1,2
"173",1,1,1
"174",6,1,1
"175",41,1,1
"176",11,1,1
"177",2,1,1
"178",4,1,1
"179",1,1,1
"180",14,1,1
"181",20,1,1
"182",21,1,1
"183",23,1,1
"184",22,1,1
"185",1,1,4
"186",13,1,1
"187",4,1,1
"188",1,1,2
"189",5,1,2
"190",1,1,1
"191",42,1,1
"192",6,1,1
"193",5,1,1
"194",2,1,1
"195",30,1,1
"196",1,1,1
"197",1,1,1
"198",8,1,1
"199",2,1,1
"200",8,1,1
"201",1,1,1
"202",3,1,1
"203",8,1,1
"204",10,1,1
"205",3,1,1
"206",6,1,1
"207",15,1,1
"208",11,1,3
"209",6,4,1
"210",1,1,5
"211",24,1,1
"212",16,1,2
"213",5,1,1
"214",3,1,1
"215",27,1,1
"216",8,1,1
"217",7,1,1
"218",23,1,1
"219",6,1,1
"220",5,1,2
"221",1,1,1
"222",30,1,1
"223",30,1,1
"224",33,1,1
"225",6,1,3
"226",5,1,1
"227",4,1,1
"228",35,1,1
"229",1,1,1
"230",46,1,1
"231",30,1,1
"232",10,1,1
"233",1,1,2
"234",4,8,1
"235",20,1,1
"236",25,1,1
"237",47,1,1
"238",47,1,1
"239",19,1,1
"240",7,1,1
"241",9,1,1
"242",1,1,1
"243",8,1,2
"244",13,1,1
"245",2,1,1
"246",15,1,1
"247",5,1,1
"248",1,1,1
"249",67,1,1
"250",9,1,3
"251",11,1,3
"252",4,1,1
"253",3,4,1
"254",45,1,1
"255",39,1,1
"256",6,1,1
"257",12,1,1
"258",22,1,1
"259",12,1,1
"260",1,1,1
"261",1,1,1
"262",12,1,1
"263",1,1,1
"264",10,1,1
"265",46,1,1
"266",1,1,3
"267",8,10,1
"268",6,1,0
"269",10,1,1
"270",1,1,1
"271",9,1,1
"272",13,1,2
"273",16,1,1
"274",4,1,1
"275",12,1,1
"276",3,1,1
"277",12,1,1
"278",8,1,1
"279",23,1,1
"280",1,1,3
"281",3,2,1
"282",27,1,1
"283",2,1,1
"284",18,1,1
"285",2,1,1
"286",48,2,1
"287",13,1,3
"288",28,1,1
"289",13,2,2
"290",30,1,1
"291",1,1,2
"292",2,1,2
"293",6,1,1
"294",1,1,2
"295",4,1,1
"296",34,1,1
"297",46,1,3
"298",7,1,2
"299",1,1,1
"300",16,1,1
"301",1,1,1
"302",5,1,2
"303",33,1,1
"304",11,1,2
"305",16,1,1
"306",1,1,2
"307",30,1,1
"308",7,1,1
"309",6,1,1
"310",9,1,1
"311",1,2,1
"312",9,1,1
"313",44,1,1
"314",22,2,1
"315",25,1,5
"316",5,1,1
"317",9,1,2
"318",3,1,1
"319",36,1,1
"320",1,1,1
"321",4,2,1
"322",1,1,8
"323",3,1,1
"324",1,1,1
"325",1,1,2
"326",1,1,1
"327",2,1,1
"328",32,1,1
"329",7,1,1
"330",6,1,1
"331",2,2,1
"332",9,1,1
"333",1,1,1
"334",41,6,2
"335",3,1,1
"336",4,1,1
"337",19,1,1
"338",2,1,1
"339",1,1,1
"340",27,1,1
"341",5,1,1
"342",4,1,1
"343",8,1,1
"344",4,1,2
"345",12,1,1
"346",48,1,1
"347",4,1,2
"348",1,1,1
"349",25,1,1
